domain,agency,result,robots_txt,plain_fetch_status,plain_fetch_host,block_style,headless_browser,lighthouse,platform,server_header,cloudflare,last_audit
co.clinton.oh.us,"Clinton County, OH",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
greenecountyohio.gov,"Greene County, OH",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-09-09
mcohio.org,"Montgomery County, OH",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-09-13
bcohio.gov,"Butler County, OH",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-09
hamiltoncountyohio.gov,"Hamilton County, OH",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
sf.gov,"San Francisco, CA",open,allowed,200,www,,ok or not needed,ok,,nginx,,2026-09-06
cookcountyil.gov,"Cook County, IL",open,allowed,200,www,,ok or not needed,ok,,nginx,,2026-08-26
fayettekyclerk.gov,"Fayette County, KY",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-09-09
baltimorecity.gov,"Baltimore, MD",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-01
adlc.us,"Deer Lodge County, MT",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
browncountyohio.gov,"Brown County, OH",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-18
douglascountynv.gov,"Douglas County, NV",blocks basic request and headless browser,allowed,200,bare,,blocked (403),ok,Cloudflare (other sites),cloudflare,yes,2026-08-18
lyon-county.org,"Lyon County, NV",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
washoecounty.gov,"Washoe County, NV",open,allowed,200,bare,,ok or not needed,ok,,volt-adc,,2026-08-26
eurekacountynv.gov,"Eureka County, NV",blocks basic request and headless browser,allowed,403,bare,cloudflare-challenge,blocked (403),ok,Cloudflare (other sites),cloudflare,yes,2026-08-24
humboldtcountynv.gov,"Humboldt County, NV",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-19
pershingcountynv.gov,"Pershing County, NV",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
carsoncity.gov,"Carson City, NV",blocks everything,allowed,403,www,denied-403,not reached,403,Granicus govAccess (Akamai),AkamaiGHost,,2026-09-09
mineralcountynv.us,"Mineral County, NV",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
elkocountynv.net,"Elko County, NV",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
lincolncountynevada.com,"Lincoln County, NV",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
churchillcountynv.gov,"Churchill County, NV",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
nyecountynv.gov,"Nye County, NV",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
landercountynv.org,"Lander County, NV",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
whitepinecounty.net,"White Pine County, NV",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
clarkcountynv.gov,"Clark County, NV",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
accessesmeralda.com,"Esmeralda County, NV",robots.txt exclusion,disallowed,200,bare,,ok or not needed,none,,,,2026-07-19
storeycounty.org,"Storey County, NV",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
kauai.gov,"Kauaʻi County, HI",open,allowed,200,www,,ok or not needed,ok,,,,2026-08-18
hawaiicounty.gov,"Hawaiʻi County, HI",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Granicus govAccess (Akamai),AkamaiGHost,,2026-08-24
franklincountyohio.gov,"Franklin County, OH",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-01
co.madison.oh.us,"Madison County, OH",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
unioncountyohio.gov,"Union County, OH",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-19
co.delaware.oh.us,"Delaware County, OH",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
lickingcounty.gov,"Licking County, OH",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
co.fairfield.oh.us,"Fairfield County, OH",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-18
pickawaycountyohio.gov,"Pickaway County, OH",open,allowed,200,bare,,ok or not needed,ok,,Sucuri,,2026-09-09
clarkcountyohio.gov,"Clark County, OH",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
co.champaign.oh.us,"Champaign County, OH",open,allowed,200,www,,ok or not needed,ok,,Apache,,2026-08-18
co.logan.oh.us,"Logan County, OH",open,allowed,200,bare-http,,ok or not needed,ok,,,,2026-09-09
co.marion.oh.us,"Marion County, OH",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
morrowcountyohio.gov,"Morrow County, OH",open,allowed,200,bare,,ok or not needed,ok,,,,2026-09-12
co.knox.oh.us,"Knox County, OH",blocks basic request,allowed,403,bare,denied-403,ok or not needed,ok,Cloudflare (other sites),cloudflare,yes,2026-08-18
dearborncounty.org,"Dearborn County, IN",robots.txt exclusion,crawl-delay,200,bare,,ok or not needed,none,,nginx,,2026-07-19
coshoctoncounty.net,"Coshocton County, OH",open,allowed,200,www,,ok or not needed,ok,,Apache,,2026-09-09
muskingumcountyoh.gov,"Muskingum County, OH",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
perrycountyohio.gov,"Perry County, OH",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-17
hocking.oh.gov,"Hocking County, OH",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
co.ross.oh.us,"Ross County, OH",open,allowed,200,bare-http,,ok or not needed,failed,,Apache,,2026-09-11
fayette-co-oh.com,"Fayette County, OH",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
waukeshacounty.gov,"Waukesha County, WI",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
county.milwaukee.gov,"Milwaukee County, WI",blocks basic request and headless browser,allowed,403,bare,cloudflare-challenge,blocked (403),ok,Cloudflare (other sites),cloudflare,yes,2026-09-01
washcowisco.gov,"Washington County, WI",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-09-09
sheboygancounty.com,"Sheboygan County, WI",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Granicus govAccess (Akamai),AkamaiGHost,,2026-08-24
fdlco.wi.gov,"Fond du Lac County, WI",blocks everything,allowed,403,www,denied-403,not reached,403,Granicus govAccess (Akamai),AkamaiGHost,,2026-09-09
greenlakecountywi.gov,"Green Lake County, WI",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
co.dodge.wi.gov,"Dodge County, WI",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
winnebagocountywi.gov,"Winnebago County, WI",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-09-09
co.waushara.wi.us,"Waushara County, WI",broken or unreachable,allowed,error,bare,,error,ok,,cloudflare,yes,2026-08-19
outagamie.gov,"Outagamie County, WI",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-09
co.calumet.wi.us,"Calumet County, WI",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
marathoncounty.gov,"Marathon County, WI",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Granicus govAccess (Akamai),AkamaiGHost,,2026-08-24
waupacacounty-wi.gov,"Waupaca County, WI",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
co.portage.wi.gov,"Portage County, WI",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
co.shawano.wi.us,"Shawano County, WI",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-09
woodcountywi.gov,"Wood County, WI",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
co.adams.wi.us,"Adams County, WI",open,allowed,200,www,,ok or not needed,ok,,ESF,,2026-09-09
clarkcountywi.gov,"Clark County, WI",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
co.taylor.wi.us,"Taylor County, WI",blocks basic request,allowed,403,bare,denied-403,ok or not needed,ok,Unknown platform on Google Cloud,nginx,,2026-08-19
co.lincoln.wi.us,"Lincoln County, WI",blocks basic request and headless browser,allowed,403,bare,cloudflare-challenge,blocked (403),ok,Cloudflare (other sites),cloudflare,yes,2026-08-24
oneidacountywi.gov,"Oneida County, WI",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
vilascountywi.gov,"Vilas County, WI",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
co.forest.wi.gov,"Forest County, WI",open,allowed,200,bare,,ok or not needed,ok,,DPS,,2026-08-18
browncountywi.gov,"Brown County, WI",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-09
manitowoccountywi.gov,"Manitowoc County, WI",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
kewauneeco.org,"Kewaunee County, WI",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
co.door.wi.gov,"Door County, WI",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
co.price.wi.us,"Price County, WI",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
co.iron.wi.gov,"Iron County, WI",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-09-13
ashlandcountywi.gov,"Ashland County, WI",robots.txt exclusion,disallowed,200,bare,,ok or not needed,none,,,,2026-07-18
sawyercounty.gov,"Sawyer County, WI",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-09
bayfieldcounty.wi.gov,"Bayfield County, WI",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
chippewacountywi.gov,"Chippewa County, WI",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
ruskcounty.org,"Rusk County, WI",robots.txt exclusion,disallowed,200,bare,,ok or not needed,none,,,,2026-07-19
co.juneau.wi.gov,"Juneau County, WI",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
co.monroe.wi.us,"Monroe County, WI",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Granicus govAccess (Akamai),AkamaiGHost,,2026-08-24
co.jackson.wi.us,"Jackson County, WI",robots.txt exclusion,disallowed,200,bare,,ok or not needed,none,,,,2026-07-18
dubuquecountyiowa.gov,"Dubuque County, IA",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-09-11
co.highland.oh.us,"Highland County, OH",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-09-12
fremontcountywy.org,"Fremont County, WY",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
natronacounty-wy.gov,"Natrona County, WY",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-09-11
washakiecountywy.gov,"Washakie County, WY",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
hscounty.com,"Hot Springs County, WY",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
parkcounty-wy.gov,"Park County, WY",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-19
carboncountywy.gov,"Carbon County, WY",open,allowed,200,bare,,ok or not needed,ok,,,,2026-09-11
johnsoncowy.gov,"Johnson County, WY",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
conversecountywy.gov,"Converse County, WY",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
campbellcountywy.gov,"Campbell County, WY",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
sheridancountywy.gov,"Sheridan County, WY",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
bighorncountymt.gov,"Big Horn County, MT",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
tetoncountywy.gov,"Teton County, WY",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
sublettecountywy.gov,"Sublette County, WY",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
lincolncountywy.gov,"Lincoln County, WY",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
plattecountywyoming.com,"Platte County, WY",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
goshencountywy.gov,"Goshen County, WY",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
niobraracounty.org,"Niobrara County, WY",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
westongov.com,"Weston County, WY",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
crookcounty.wy.gov,"Crook County, WY",robots.txt exclusion,disallowed,200,www,,error,ok,,,,2026-09-09
bighorncountywy.gov,"Big Horn County, WY",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-19
uintacountywy.gov,"Uinta County, WY",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
hcnh.org,"Hillsborough County, NH",broken or unreachable,allowed,error,bare,,ok or not needed,ok,,,,2026-08-19
merrimackcounty.net,"Merrimack County, NH",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
loraincountyohio.gov,"Lorain County, OH",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
eriecounty.oh.gov,"Erie County, OH",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-09-09
lakecountyohio.gov,"Lake County, OH",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
co.ottawa.oh.us,"Ottawa County, OH",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
cuyahogacounty.gov,"Cuyahoga County, OH",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
ashtabulacounty.gov,"Ashtabula County, OH",open,allowed,200,www,,ok or not needed,ok,,CivicPlus,,2026-09-09
co.lucas.oh.us,"Lucas County, OH",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
oakgov.com,"Oakland County, MI",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Granicus govAccess (Akamai),AkamaiGHost,,2026-08-24
macombgov.org,"Macomb County, MI",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
lapeercountymi.gov,"Lapeer County, MI",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
geneseecountymi.gov,"Genesee County, MI",robots.txt exclusion,disallowed,200,bare,,ok or not needed,none,,cloudflare,yes,2026-07-19
milivcounty.gov,"Livingston County, MI",blocks basic request,allowed,403,bare,denied-403,ok or not needed,ok,Unknown platform on Google Cloud,nginx,,2026-08-18
washtenaw.org,"Washtenaw County, MI",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
waynecountymi.gov,"Wayne County, MI",open,allowed,200,www,,ok or not needed,ok,,,,2026-08-24
boonecountyky.org,"Boone County, KY",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
kentoncountyky.gov,"Kenton County, KY",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-09
campbellcountyky.gov,"Campbell County, KY",robots.txt exclusion,crawl-delay,200,bare,,ok or not needed,none,,nginx,,2026-07-19
belknapcounty.gov,"Belknap County, NH",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
orangecountyfl.net,"Orange County, FL",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-26
seminolecountyfl.gov,"Seminole County, FL",robots.txt exclusion,disallowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
osceola.org,"Osceola County, FL",open,allowed,200,www,,ok or not needed,ok,,,,2026-08-18
brevardfl.gov,"Brevard County, FL",blocks basic request,allowed,403,bare,cloudflare-challenge,ok or not needed,ok,Cloudflare (other sites),cloudflare,yes,2026-08-24
volusia.org,"Volusia County, FL",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-09-13
lakecountyfl.gov,"Lake County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
humboldtgov.org,"Humboldt County, CA",open,allowed,200,bare,,ok or not needed,ok,,,,2026-09-01
tularecounty.ca.gov,"Tulare County, CA",blocks basic request and headless browser,allowed,403,bare,cloudflare-challenge,blocked (403),ok,Cloudflare (other sites),cloudflare,yes,2026-08-24
saccounty.gov,"Sacramento County, CA",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-18
marincounty.gov,"Marin County, CA",blocks basic request and headless browser,allowed,403,www,denied-403,blocked (403),ok,Cloudflare (other sites),cloudflare,yes,2026-08-31
contracosta.ca.gov,"Contra Costa County, CA",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
napacounty.gov,"Napa County, CA",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-09-09
nevadacountyca.gov,"Nevada County, CA",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
mariposacounty.gov,"Mariposa County, CA",open,allowed,200,www-http,,ok or not needed,ok,,Microsoft-IIS,,2026-09-09
ocgov.com,"Orange County, CA",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
sjgov.org,"San Joaquin County, CA",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-09-11
sonomacounty.gov,"Sonoma County, CA",open,allowed,200,bare,,ok or not needed,ok,,,,2026-09-07
lassencounty.gov,"Lassen County, CA",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-09-09
calaverasgov.us,"Calaveras County, CA",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-03
tuolumnecounty.ca.gov,"Tuolumne County, CA",blocks basic request,allowed,403,bare,cloudflare-challenge,ok or not needed,none,Cloudflare (other sites),cloudflare,yes,2026-07-25
monocounty.ca.gov,"Mono County, CA",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-09-13
sierracounty.ca.gov,"Sierra County, CA",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
yuba.gov,"Yuba County, CA",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
countyofcolusaca.gov,"Colusa County, CA",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
plumascounty.us,"Plumas County, CA",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
suttercounty.org,"Sutter County, CA",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Granicus govAccess (Akamai),AkamaiGHost,,2026-08-24
lacounty.gov,"Los Angeles County, CA",open,allowed,200,bare,,ok or not needed,ok,,,,2026-09-01
countyofkingsca.gov,"Kings County, CA",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Granicus govAccess (Akamai),AkamaiGHost,,2026-08-24
eldoradocounty.ca.gov,"El Dorado County, CA",open,allowed,200,www,,ok or not needed,ok,,,,2026-08-18
sandiegocounty.gov,"San Diego County, CA",broken or unreachable,allowed,error,www,,ok or not needed,ok,,,,2026-08-26
siskiyoucounty.gov,"Siskiyou County, CA",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-03
trinitycounty.org,"Trinity County, CA",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
countyofmonterey.gov,"Monterey County, CA",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Granicus govAccess (Akamai),AkamaiGHost,,2026-08-24
tehama.gov,"Tehama County, CA",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
maderacounty.com,"Madera County, CA",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Granicus govAccess (Akamai),AkamaiGHost,,2026-08-24
mendocinocounty.gov,"Mendocino County, CA",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Granicus govAccess (Akamai),AkamaiGHost,,2026-08-24
amadorgov.org,"Amador County, CA",blocks basic request,allowed,403,bare,denied-403,ok or not needed,none,Granicus govAccess (Akamai),AkamaiGHost,,2026-07-25
inyocounty.us,"Inyo County, CA",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
fresnocountyca.gov,"Fresno County, CA",open,allowed,200,www,,ok or not needed,ok,,,,2026-08-18
countyofglenn.net,"Glenn County, CA",blocks basic request and headless browser,allowed,403,bare,cloudflare-challenge,blocked (403),ok,Cloudflare (other sites),cloudflare,yes,2026-08-24
kerncounty.com,"Kern County, CA",blocks everything,allowed,403,www,denied-403,not reached,403,Granicus govAccess (Akamai),AkamaiGHost,,2026-09-03
rivco.gov,"Riverside County, CA",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-09-09
slocounty.ca.gov,"San Luis Obispo County, CA",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
alpinecountyca.gov,"Alpine County, CA",open,allowed,200,bare,,ok or not needed,ok,,,,2026-09-03
acgov.org,"Alameda County, CA",open,allowed,200,bare-http,,ok or not needed,ok,,,,2026-08-18
sanbenitocountyca.gov,"San Benito County, CA",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Granicus govAccess (Akamai),AkamaiGHost,,2026-08-24
santaclaracounty.gov,"Santa Clara County, CA",blocks everything,allowed,403,bare,denied-403,not reached,403,Cloudflare (other sites),cloudflare,yes,2026-08-22
lakecountyca.gov,"Lake County, CA",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
co.del-norte.ca.us,"Del Norte County, CA",open,allowed,200,www,,ok or not needed,ok,,nginx,,2026-09-01
countyofmerced.com,"Merced County, CA",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
venturacounty.gov,"Ventura County, CA",open,allowed,200,bare,,ok or not needed,ok,,volt-adc,,2026-08-19
countyofmodoc.gov,"Modoc County, CA",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-09-09
yolocounty.gov,"Yolo County, CA",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Granicus govAccess (Akamai),AkamaiGHost,,2026-08-18
buttecounty.net,"Butte County, CA",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-09-01
main.sbcounty.gov,"San Bernardino County, CA",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-09-03
countyofsb.org,"Santa Barbara County, CA",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
placer.ca.gov,"Placer County, CA",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
shastacounty.gov,"Shasta County, CA",blocks basic request and headless browser,allowed,403,bare,cloudflare-challenge,blocked (403),ok,Cloudflare (other sites),cloudflare,yes,2026-08-24
solanocounty.gov,"Solano County, CA",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-26
stancounty.com,"Stanislaus County, CA",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
imperialcounty.org,"Imperial County, CA",open,allowed,200,bare,,ok or not needed,ok,,LiteSpeed,,2026-08-18
suffolkcountyny.gov,"Suffolk County, NY",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-24
co.monroe.mi.us,"Monroe County, MI",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
berriencounty.org,"Berrien County, MI",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
effinghamcounty.org,"Effingham County, GA",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
jacksoncounty.colorado.gov,"Jackson County, CO",blocks everything,allowed,403,bare,denied-403,not reached,403,Colorado state platform (CloudFront),CloudFront,,2026-09-11
co.routt.co.us,"Routt County, CO",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
prowersco.gov,"Prowers County, CO",open,allowed,200,www,,ok or not needed,ok,,nginx,,2026-09-09
stantoncountyks.com,"Stanton County, KS",blocks basic request and headless browser,allowed,403,bare,cloudflare-challenge,blocked (403),ok,Cloudflare (other sites),cloudflare,yes,2026-08-24
bacacountyco.gov,"Baca County, CO",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-09-13
bentcounty.net,"Bent County, CO",robots.txt exclusion,disallowed,200,bare,,ok or not needed,none,,,,2026-07-19
lasanimascounty.colorado.gov,"Las Animas County, CO",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Colorado state platform (CloudFront),CloudFront,,2026-08-24
lpcgov.org,"La Plata County, CO",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
montezumacounty.org,"Montezuma County, CO",blocks basic request,allowed,403,bare,cloudflare-challenge,error,ok,Cloudflare (other sites),cloudflare,yes,2026-08-24
